key,rdfTerm,idPrefix
label,rdfs:label
description,rdfs:comment
wasAssembledBy,trov:wasAssembledBy
hasCapability,trov:hasCapability
capability,@id,trs/capability/
publicKey,trov:publicKey
wasTimestampedBy,trov:wasTimestampedBy
hasAttribute,trov:hasAttribute
troAttribute,@id,tro/attribute/
warrantedBy,trov:warrantedBy
hasComposition,trov:hasComposition
composition,@id,composition/
hasFingerprint,trov:hasFingerprint
fingerprint,@id,fingerprint/
sha256,trov:sha256
hasArtifact,trov:hasArtifact
mimeType,trov:mimeType
hasArrangement,trov:hasArrangement
arrangement,@id,arrangement/
hasLocus,trov:hasLocus
hasLocation,trov:hasLocation
hasPerformance,trov:hasPerformance
trp,@id,trp/
startedAtTime,trov:startedAtTime
endedAtTime,trov:endedAtTime
accessedArrangement,trov:accessedArrangement
contributedToArrangement,trov:contributedToArrangement
hadPerformanceAttribute,trov:hadPerformanceAttribute
